N=5000,graph=email,method=pearson,r=0.1,beta=0.8
rank,precision
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
2,0.5
1,1.0
2,0.5
4,0.0
1,0.5
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.5
1,1.0
3,0.0
1,0.3333333333333333
2,0.5
2,0.5
2,0.0
3,0.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
2,0.0
8,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
6,0.0
1,1.0
3,0.0
1,0.5
1,0.5
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
2,0.0
1,1.0
1,0.3333333333333333
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
4,0.0
12,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
2,0.0
1,1.0
1,1.0
6,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.25
3,0.3333333333333333
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
22,0.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
2,0.0
1,1.0
1,0.5
1,1.0
3,0.0
1,1.0
1,0.5
1,1.0
1,1.0
3,0.0
1,1.0
2,0.0
1,1.0
1,1.0
2,0.25
2,0.0
2,0.0
2,0.5
1,1.0
1,1.0
2,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
3,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
2,0.5
6,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,0.5
3,0.0
18,0.0
1,1.0
2,0.3333333333333333
1,1.0
1,0.3333333333333333
1,1.0
3,0.3333333333333333
1,0.5
1,1.0
1,0.5
1,1.0
3,0.0
1,1.0
2,0.5
3,0.0
1,1.0
1,1.0
2,0.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
2,0.0
2,0.5
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
3,0.3333333333333333
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
12,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
15,0.0
2,0.0
3,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
9,0.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
2,0.3333333333333333
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.25
3,0.0
1,0.5
1,1.0
2,0.5
4,0.0
1,0.5
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
3,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
2,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
2,0.0
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
2,0.5
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
2,0.0
1,0.5
2,0.0
1,1.0
1,1.0
3,0.0
3,0.0
1,1.0
1,0.5
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
8,0.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.25
1,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
2,0.0
1,1.0
1,0.3333333333333333
1,1.0
3,0.0
1,0.5
1,1.0
1,1.0
14,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1,0.5
1,1.0
2,0.0
2,0.0
1,0.5
1,0.5
10,0.0
1,1.0
3,0.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
2,0.5
2,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,0.5
4,0.0
2,0.0
3,0.0
1,0.5
1,1.0
1,0.5
2,0.0
1,0.5
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
4,0.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
3,0.3333333333333333
20,0.0
1,1.0
113,0.0
3,0.0
1,1.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
2,0.0
3,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
2,0.0
3,0.3333333333333333
1,1.0
2,0.5
1,1.0
2,0.5
2,0.5
1,1.0
1,1.0
4,0.0
2,0.5
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,0.5
7,0.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
2,0.0
1,1.0
2,0.5
2,0.0
9,0.0
1,1.0
1,1.0
1,1.0
1,1.0
9,0.0
1,1.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
8,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
84,0.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.0
1,1.0
1,1.0
2,0.0
35,0.0
1,1.0
9,0.0
2,0.5
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
1,1.0
1,0.5
1,0.5
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
1,1.0
4,0.0
2,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
8,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
3,0.3333333333333333
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,0.5
2,0.5
1,1.0
3,0.3333333333333333
2,0.5
2,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.25
1,1.0
5,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
1,0.5
1,0.3333333333333333
1,1.0
2,0.0
1,1.0
1,1.0
1,0.5
1,0.5
1,0.3333333333333333
5,0.0
2,0.5
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
4,0.25
3,0.0
2,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.5
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,0.5
2,0.0
3,0.3333333333333333
1,1.0
150,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
52,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
8,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.5
2,0.5
2,0.0
4,0.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
2,0.0
3,0.0
1,1.0
4,0.0
2,0.5
1,1.0
2,0.0
1,1.0
1,1.0
1,0.5
3,0.0
2,0.5
3,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.25
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
9,0.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.5
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
10,0.0
2,0.0
1,1.0
1,0.5
1,1.0
2,0.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
2,0.5
1,0.5
1,1.0
1,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
2,0.5
1,1.0
1,1.0
2,0.0
3,0.25
1,1.0
1,0.5
1,1.0
1,1.0
1,0.5
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,0.5
2,0.5
1,1.0
1,1.0
1,0.5
2,0.0
1,0.5
1,1.0
3,0.0
2,0.0
1,0.3333333333333333
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
21,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.25
2,0.3333333333333333
2,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
2,0.0
5,0.0
7,0.0
1,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
43,0.0
1,1.0
1,1.0
5,0.0
1,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,0.5
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
6,0.0
1,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,0.3333333333333333
1,1.0
2,0.0
1,1.0
2,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
3,0.0
1,1.0
2,0.5
2,0.0
1,1.0
1,1.0
2,0.0
4,0.25
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
2,0.0
10,0.0
1,1.0
3,0.25
7,0.0
2,0.5
2,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,0.3333333333333333
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.0
2,0.0
1,1.0
4,0.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
10,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
3,0.0
1,1.0
1,1.0
1,1.0
5,0.0
3,0.3333333333333333
2,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
2,0.25
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
10,0.0
1,1.0
3,0.0
1,1.0
2,0.0
2,0.25
1,0.5
2,0.5
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
3,0.3333333333333333
1,0.5
1,1.0
1,1.0
5,0.0
1,1.0
3,0.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,0.5
1,1.0
1,0.5
1,1.0
3,0.0
1,1.0
2,0.5
1,1.0
2,0.5
8,0.0
1,1.0
2,0.5
2,0.5
2,0.0
1,1.0
1,1.0
1,0.5
1,1.0
4,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
3,0.3333333333333333
2,0.0
1,0.3333333333333333
1,1.0
1,1.0
3,0.3333333333333333
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
20,0.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
11,0.0
2,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.5
1,0.3333333333333333
1,1.0
1,1.0
2,0.5
2,0.0
1,0.3333333333333333
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,0.3333333333333333
1,1.0
1,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
1,1.0
3,0.0
1,1.0
1,0.5
1,1.0
18,0.0
1,1.0
1,0.5
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
3,0.0
1,1.0
1,1.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
6,0.0
1,1.0
2,0.0
1,1.0
2,0.5
7,0.0
1,1.0
1,0.5
3,0.0
3,0.0
1,1.0
2,0.0
1,1.0
4,0.0
1,0.25
1,1.0
1,1.0
1,1.0
1,0.5
2,0.0
6,0.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
15,0.0
1,1.0
2,0.0
6,0.0
1,1.0
2,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
3,0.0
2,0.5
1,1.0
2,0.5
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
3,0.3333333333333333
4,0.0
1,1.0
1,1.0
1,1.0
7,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
13,0.0
1,0.3333333333333333
1,1.0
1,0.5
4,0.0
1,1.0
1,1.0
1,1.0
2,0.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
5,0.0
1,1.0
4,0.25
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
2,0.0
1,1.0
1,0.5
1,1.0
2,0.5
1,0.5
2,0.5
1,1.0
2,0.5
1,1.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,0.5
14,0.0
1,1.0
1,1.0
2,0.5
4,0.0
2,0.0
1,0.5
1,0.5
3,0.0
2,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
7,0.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
3,0.0
1,0.5
2,0.3333333333333333
1,1.0
1,1.0
16,0.0
2,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
2,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,0.5
3,0.3333333333333333
1,1.0
2,0.0
1,1.0
2,0.5
1,1.0
5,0.0
1,1.0
1,1.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
2,0.3333333333333333
1,1.0
1,1.0
2,0.0
3,0.3333333333333333
4,0.0
1,1.0
1,1.0
1,1.0
8,0.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
3,0.3333333333333333
3,0.0
1,1.0
4,0.25
2,0.0
1,1.0
1,1.0
3,0.0
1,1.0
2,0.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
1,1.0
9,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
2,0.5
1,1.0
2,0.0
2,0.5
1,0.5
1,1.0
1,1.0
1,0.5
1,0.5
1,1.0
4,0.0
2,0.3333333333333333
2,0.0
1,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
4,0.0
2,0.25
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
2,0.5
1,1.0
2,0.0
2,0.5
1,1.0
12,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
15,0.0
2,0.5
1,1.0
1,1.0
6,0.0
1,1.0
1,1.0
2,0.0
1,1.0
7,0.0
1,1.0
1,1.0
2,0.5
5,0.0
1,1.0
3,0.3333333333333333
1,1.0
1,1.0
4,0.0
2,0.5
3,0.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
2,0.0
3,0.3333333333333333
1,1.0
2,0.5
1,1.0
1,1.0
4,0.25
1,1.0
2,0.5
1,1.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
2,0.5
1,1.0
2,0.5
1,1.0
1,0.3333333333333333
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,0.5
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,0.5
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
6,0.0
4,0.0
2,0.5
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,0.5
1,1.0
2,0.0
1,0.5
1,1.0
1,1.0
3,0.0
2,0.0
1,1.0
2,0.0
3,0.25
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
2,0.5
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.3333333333333333
3,0.0
3,0.0
1,1.0
1,1.0
2,0.3333333333333333
1,0.3333333333333333
2,0.0
1,1.0
2,0.5
2,0.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
2,0.5
1,1.0
5,0.0
1,1.0
2,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,0.25
2,0.5
2,0.5
2,0.0
1,1.0
1,1.0
1,0.3333333333333333
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
2,0.5
14,0.0
2,0.0
1,1.0
1,1.0
3,0.25
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
3,0.3333333333333333
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
2,0.3333333333333333
2,0.0
2,0.0
1,1.0
1,0.5
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
8,0.0
7,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
2,0.0
1,1.0
1,1.0
7,0.0
1,1.0
1,1.0
1,1.0
11,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.3333333333333333
1,1.0
2,0.0
1,1.0
1,1.0
2,0.5
1,0.5
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,0.5
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
8,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,0.3333333333333333
1,0.25
1,1.0
2,0.5
1,1.0
1,1.0
2,0.5
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
4,0.0
1,0.5
1,1.0
2,0.5
3,0.25
1,1.0
1,0.3333333333333333
2,0.5
1,1.0
1,0.5
1,1.0
